Date,flow,average temperature (C),precipitation,ET,PET
2009-12-29,766419.0,-6.530625871147576,0.0,393789.58571428567,432336.3714285714
2009-12-30,615135.0,-7.505995359955712,4749051.649838088,393789.58571428567,432336.3714285714
2009-12-31,663925.0,-8.481364848763848,4424304.8852627035,393789.58571428567,432336.3714285714
2010-01-01,1193635.0,-9.456734337571984,0.0,474487.9714285714,510000.6142857143
2010-01-02,783573.0,-9.188966782790178,0.0,474487.9714285714,510000.6142857143
2010-01-03,488160.0,-8.921199228008373,0.0,474487.9714285714,510000.6142857143
2010-01-04,414975.0,-8.653431673226567,0.0,474487.9714285714,510000.6142857143
2010-01-05,341703.0,-8.385664118444762,0.0,474487.9714285714,510000.6142857143
2010-01-06,292913.0,-8.117896563662956,0.0,474487.9714285714,510000.6142857143
2010-01-07,268518.0,-7.850129008881151,226837.54864599238,474487.9714285714,510000.6142857143
2010-01-08,244123.0,-7.582361454099345,0.0,474487.9714285714,510000.6142857143
2010-01-09,231882.0,-7.31459389931754,0.0,965594.6,1338097.2714285718
2010-01-10,219728.0,-7.133294510291105,0.0,965594.6,1338097.2714285718
2010-01-11,209901.0,-6.951995121264669,178270.2760643627,965594.6,1338097.2714285718
2010-01-12,219728.0,-6.770695732238233,0.0,965594.6,1338097.2714285718
2010-01-13,200160.0,-6.5893963432117975,0.0,965594.6,1338097.2714285718
2010-01-14,195246.0,-6.408096954185362,0.0,965594.6,1338097.2714285718
2010-01-15,244123.0,-6.226797565158926,0.0,965594.6,1338097.2714285718
2010-01-16,341703.0,-6.04549817613249,1627679.2575516691,965594.6,1338097.2714285718
2010-01-17,2067462.0,-5.864198787106055,11550763.295342635,931936.3285714284,1335555.6142857145
2010-01-18,3759085.0,-5.68289939807962,0.0,931936.3285714284,1335555.6142857145
2010-01-19,1488962.0,-5.501600009053184,0.0,931936.3285714284,1335555.6142857145
2010-01-20,1037437.0,-5.320300620026748,4025064.0274860887,931936.3285714284,1335555.6142857145
2010-01-21,820123.0,-5.139001231000313,4917474.270477656,931936.3285714284,1335555.6142857145
2010-01-22,1313197.0,-4.957701841973877,0.0,931936.3285714284,1335555.6142857145
2010-01-23,1071573.0,-4.776402452947441,4484659.79929191,931936.3285714284,1335555.6142857145
2010-01-24,6541763.0,-4.595103063921005,25663571.61701898,931936.3285714284,1335555.6142857145
2010-01-25,9617355.0,-4.41380367489457,1380382.989454265,847641.5571428571,1177233.3857142858
2010-01-26,2807073.0,-5.031800644017528,0.0,847641.5571428571,1177233.3857142858
2010-01-27,1464567.0,-5.6497976131404855,0.0,847641.5571428571,1177233.3857142858
2010-01-28,1025197.0,-6.267794582263442,0.0,847641.5571428571,1177233.3857142858
2010-01-29,756678.0,-6.8857915513864,4435853.437822938,847641.5571428571,1177233.3857142858
2010-01-30,561431.0,-7.503788520509357,4491616.464241373,847641.5571428571,1177233.3857142858
2010-01-31,537036.0,-8.121785489632314,0.0,847641.5571428571,1177233.3857142858
2010-02-01,512641.0,-8.739782458755272,0.0,847641.5571428571,1177233.3857142858
2010-02-02,463765.0,-9.35777942787823,0.0,756056.1428571428,1072451.6714285717
2010-02-03,439370.0,-9.3726826019745,0.0,756056.1428571428,1072451.6714285717
2010-02-04,461351.0,-9.387585776070768,1130967.6872943433,756056.1428571428,1072451.6714285717
2010-02-05,734697.0,-9.402488950167037,7949306.333090115,756056.1428571428,1072451.6714285717
2010-02-06,3539357.0,-9.417392124263309,0.0,756056.1428571428,1072451.6714285717
2010-02-07,1449913.0,-9.432295298359575,0.0,756056.1428571428,1072451.6714285717
2010-02-08,903135.0,-9.447198472455844,0.0,756056.1428571428,1072451.6714285717
2010-02-09,805555.0,-9.462101646552114,28131016.995178107,756056.1428571428,1072451.6714285717
2010-02-10,732283.0,-9.477004820648384,0.0,974034.4428571428,1483431.8
2010-02-11,610222.0,-8.956727778296212,0.0,974034.4428571428,1483431.8
2010-02-12,537036.0,-8.43645073594404,0.0,974034.4428571428,1483431.8
2010-02-13,488160.0,-7.91617369359187,0.0,974034.4428571428,1483431.8
2010-02-14,463765.0,-7.395896651239699,0.0,974034.4428571428,1483431.8
2010-02-15,463765.0,-6.875619608887527,3603030.404323912,974034.4428571428,1483431.8
2010-02-16,439370.0,-6.355342566535356,0.0,974034.4428571428,1483431.8
2010-02-17,414975.0,-5.835065524183184,0.0,974034.4428571428,1483431.8
2010-02-18,414975.0,-5.314788481831013,0.0,876216.5571428572,1324385.3714285714
2010-02-19,444283.0,-4.517426183552908,0.0,876216.5571428572,1324385.3714285714
2010-02-20,483333.0,-3.720063885274802,0.0,876216.5571428572,1324385.3714285714
2010-02-21,720043.0,-2.922701586996697,0.0,876216.5571428572,1324385.3714285714
2010-02-22,3514961.0,-2.1253392887185907,4445089.590722867,876216.5571428572,1324385.3714285714
2010-02-23,6590553.0,-1.3279769904404848,0.0,876216.5571428572,1324385.3714285714
2010-02-24,3734690.0,-0.5306146921623798,0.0,876216.5571428572,1324385.3714285714
2010-02-25,2685011.0,0.2667476061157261,0.0,876216.5571428572,1324385.3714285714
2010-02-26,1733085.0,1.064109904393832,0.0,1007128.6857142856,2654161.757142857
2010-02-27,1371814.0,2.024637485179436,0.0,1007128.6857142856,2654161.757142857
2010-02-28,1200962.0,2.98516506596504,0.0,1007128.6857142856,2654161.757142857
2010-03-01,1188721.0,3.945692646750644,0.0,1007128.6857142856,2654161.757142857
2010-03-02,1833166.0,4.906220227536247,2692743.1315475367,1007128.6857142856,2654161.757142857
2010-03-03,1330351.0,5.866747808321851,0.0,1007128.6857142856,2654161.757142857
2010-03-04,1066660.0,6.827275389107455,0.0,1007128.6857142856,2654161.757142857
2010-03-05,1310783.0,7.787802969893059,0.0,1007128.6857142856,2654161.757142857
